國家名稱,經度 (Longitude),緯度 (Latitude),氣候類型 (Climate Group),年均日照時長 (Hours),年均盛行風向 (Degrees)
阿富汗 (Afghanistan),67.71,33.9391,BSk (乾旱半乾旱),"3,100 - 3,300",315 (西北風)
阿爾巴尼亞 (Albania),20.1683,41.1533,Csa (地中海),"2,400 - 2,600",270 (西風)
阿爾及利亞 (Algeria),1.6596,28.0339,BWh (熱沙漠),"3,300 - 3,600",45 (東北風)
安道爾 (Andorra),1.6016,42.5462,Cfb (溫帶海洋),"2,000 - 2,200",290 (西北偏西)
安哥拉 (Angola),17.8739,-11.2027,Aw (熱帶草原),"2,200 - 2,500",225 (西南風)
阿根廷 (Argentina),-63.6167,-38.4161,BSk / Cfb,"2,100 - 2,900",270 (西風)
亞美尼亞 (Armenia),45.0382,40.0691,Dfa (溫帶大陸),"2,400 - 2,700",270 (西風)
澳洲 (Australia),133.7751,-25.2744,BWh (熱沙漠),"2,800 - 3,500",135 (東南風)
奧地利 (Austria),14.5501,47.5162,Dfb (溫帶大陸),"1,800 - 2,100",280 (西風)
亞塞拜然 (Azerbaijan),47.5769,40.1431,BSk (乾旱半乾旱),"2,200 - 2,500",270 (西風)
孟加拉 (Bangladesh),90.3563,23.685,Am (熱帶季風),"2,000 - 2,300",200 (南偏西)
比利時 (Belgium),4.4699,50.5039,Cfb (溫帶海洋),"1,500 - 1,700",225 (西南風)
貝南 (Benin),2.3158,9.3077,Aw (熱帶草原),"2,300 - 3,000",200 (南偏西)
不丹 (Bhutan),90.4336,27.5142,Cwb (亞熱帶高原),"2,100 - 2,500",180 (南風)
玻利維亞 (Bolivia),-63.5887,-16.2902,BSh / Aw,"2,400 - 3,100",135 (東南風)
波札那 (Botswana),24.6849,-22.3285,BSh (乾旱半乾旱),"3,200 - 3,500",110 (東偏南)
巴西 (Brazil),-51.9253,-14.235,Aw (熱帶草原),"2,000 - 2,700",135 (東南風)
保加利亞 (Bulgaria),25.4858,42.7339,Dfb / Cfa,"2,100 - 2,400",270 (西風)
布吉納法索 (Burkina Faso),-1.5616,12.2383,BSh (乾旱半乾旱),"2,900 - 3,300",45 (東北風)
柬埔寨 (Cambodia),104.991,12.5657,Aw (熱帶草原),"2,100 - 2,500",225 (西南風)
喀麥隆 (Cameroon),12.3547,7.3697,Am / Aw,"1,600 - 2,900",200 (南偏西)
加拿大 (Canada),-106.3468,56.1304,Dfc / ET,"1,200 - 2,200",270 (西風)
智利 (Chile),-71.543,-35.6751,BWk (冷沙漠),"2,400 - 3,900",180 (南風)
中國 (China),104.1954,35.8617,Dwa / BSk,"950 - 3,100",315 (西北風)
哥倫比亞 (Colombia),-74.2973,4.5709,Af (熱帶雨林),"630 - 1,400",45 (東北風)
剛果 (Congo,-4.0383,21.7587,Af (熱帶雨林),"1,800 - 2,200",225 (西南風)
賽普勒斯 (Cyprus),33.4299,35.1264,Csa (地中海),"3,200 - 3,500",270 (西風)
丹麥 (Denmark),9.5018,56.2639,Cfb (溫帶海洋),"1,500 - 1,800",270 (西風)
埃及 (Egypt),30.8025,26.8206,BWh (熱沙漠),"3,400 - 3,960",315 (西北風)
衣索比亞 (Ethiopia),40.4897,9.145,Cwb (亞熱帶高原),"2,200 - 2,800",45 (東北風)
法羅群島 (Faroe Islands),-6.9118,61.8926,Cfb (溫帶海洋),"840 - 1,000",270 (西風)
芬蘭 (Finland),25.7482,61.9241,Dfc (亞寒帶),"1,500 - 1,800",225 (西南風)
法國 (France),2.2137,46.2276,Cfb / Csa,"1,600 - 2,800",270 (西風)
德國 (Germany),10.4515,51.1657,Cfb (溫帶海洋),"1,500 - 1,900",270 (西風)
希臘 (Greece),21.8243,39.0742,Csa (地中海),"2,500 - 3,000",315 (西北風)
冰島 (Iceland),-19.0208,64.9631,ET (苔原氣候),"1,100 - 1,400",90 (東風)
印度 (India),78.9629,20.5937,Cwa / Aw,"2,400 - 3,000",225 (西南風)
印尼 (Indonesia),113.9213,-0.7893,Af (熱帶雨林),"1,800 - 2,400",270 (西風)
伊朗 (Iran),53.688,32.4279,BWh / BSk,"2,800 - 3,400",315 (西北風)
愛爾蘭 (Ireland),-8.2439,53.4129,Cfb (溫帶海洋),"1,100 - 1,500",225 (西南風)
以色列 (Israel),34.8516,31.0461,Csa / BWh,"3,100 - 3,400",270 (西風)
義大利 (Italy),12.5674,41.8719,Csa / Cfb,"2,000 - 2,800",290 (西偏北)
日本 (Japan),138.2529,36.2048,Cfa / Dfb,"1,600 - 2,100",315 (西北風)
約旦 (Jordan),36.2384,30.5852,BWh (熱沙漠),"3,200 - 3,500",270 (西風)
哈薩克 (Kazakhstan),66.9237,48.0196,BSk / Dfb,"2,100 - 2,800",270 (西風)
肯亞 (Kenya),37.9062,-0.0236,Aw / BSh,"2,400 - 2,900",135 (東南風)
韓國 (South Korea),127.7669,35.9078,Cfa / Dwa,"1,900 - 2,300",315 (西北風)
利比亞 (Libya),17.2283,26.3351,BWh (熱沙漠),"3,300 - 3,600",45 (東北風)
馬來西亞 (Malaysia),101.9758,4.2105,Af (熱帶雨林),"1,800 - 2,200",45 (東北風)
墨西哥 (Mexico),-102.5528,23.6345,BSh / Cwa,"2,200 - 2,900",90 (東風)
蒙古 (Mongolia),103.8467,46.8625,BWk / BSk,"2,600 - 3,100",270 (西風)
摩洛哥 (Morocco),-7.0926,31.7917,BSh / Csa,"2,800 - 3,400",45 (東北風)
納米比亞 (Namibia),18.4904,-22.9576,BWh / BSk,"3,400 - 3,870",135 (東南風)
紐西蘭 (New Zealand),174.886,-40.9006,Cfb (溫帶海洋),"1,700 - 2,400",270 (西風)
尼日 (Niger),8.0817,17.6078,BWh (熱沙漠),"3,100 - 3,400",45 (東北風)
奈及利亞 (Nigeria),8.6753,9.082,Aw / Am,"1,800 - 3,200",225 (西南風)
挪威 (Norway),8.4689,60.472,Dfc / Cfb,"1,200 - 1,700",180 (南風)
阿曼 (Oman),55.9233,21.5126,BWh (熱沙漠),"3,300 - 3,600",45 (東北風)
巴基斯坦 (Pakistan),69.3451,30.3753,BWh / BSk,"2,700 - 3,200",315 (西北風)
秘魯 (Peru),-75.0152,-9.19,Af / BWk,"1,200 - 2,900",135 (東南風)
菲律賓 (Philippines),121.774,12.8797,Am / Af,"1,800 - 2,400",45 (東北風)
波蘭 (Poland),19.1451,51.9194,Dfb (溫帶大陸),"1,500 - 1,850",270 (西風)
葡萄牙 (Portugal),-8.2245,39.3999,Csa / Csb,"2,400 - 3,000",315 (西北風)
卡達 (Qatar),51.1839,25.3548,BWh (熱沙漠),"3,300 - 3,500",315 (西北風)
俄羅斯 (Russia),105.3188,61.524,Dfc / Dfb,"1,100 - 2,200",270 (西風)
沙烏地阿拉伯 (Saudi Arabia),45.0792,23.8859,BWh (熱沙漠),"3,200 - 3,600",315 (西北風)
南非 (South Africa),22.9375,-30.5595,BSk / Cfb,"2,500 - 3,300",270 (西風)
西班牙 (Spain),-3.7492,40.4637,Csa / Csb,"2,400 - 3,100",270 (西風)
蘇丹 (Sudan),30.2176,12.8628,BWh (熱沙漠),"3,300 - 3,750",45 (東北風)
瑞典 (Sweden),18.6435,60.1282,Dfb / Dfc,"1,500 - 1,900",225 (西南風)
瑞士 (Switzerland),8.2275,46.8182,Cfb / Dfb,"1,600 - 2,100",270 (西風)
台灣 (Taiwan),120.9605,23.6978,Cfa / Am,"1,800 - 2,300",45 (東北風)
泰國 (Thailand),100.9925,15.87,Aw / Am,"2,100 - 2,600",225 (西南風)
土耳其 (Turkey),35.2433,38.9637,Csa / BSk,"2,200 - 2,900",270 (西風)
烏克蘭 (Ukraine),31.1656,48.3794,Dfb (溫帶大陸),"1,800 - 2,300",270 (西風)
阿聯酋 (UAE),53.8478,23.4241,BWh (熱沙漠),"3,300 - 3,600",315 (西北風)
英國 (United Kingdom),-3.436,55.3781,Cfb (溫帶海洋),"1,200 - 1,650",225 (西南風)
美國 (United States),-95.7129,37.0902,Cfa / BSk,"2,000 - 4,000",270 (西風)
越南 (Vietnam),108.2772,14.0583,Am / Aw,"1,800 - 2,600",45 (東北風)
尚比亞 (Zambia),27.8493,-13.1339,Cwa (亞熱帶高原),"2,600 - 3,000",110 (東偏南)
